,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
118,Horticulture,Carrots,Ext Bag,138,KES4147.00,6/1/2012,1,7,2,138,1,6,2012,4147
119,Horticulture,Tomatoes,Lg Box,64,KES4172.00,6/1/2012,1,38,3,64,1,6,2012,4172
120,Horticulture,Onions Dry,net,13,KES1229.00,6/1/2012,1,28,7,13,1,6,2012,1229
121,Horticulture,Spring Onions,Bag,142,KES1993.00,6/1/2012,1,36,0,142,1,6,2012,1993
122,Horticulture,Chillies,Bag,38,KES2658.00,6/1/2012,1,10,0,38,1,6,2012,2658
123,Horticulture,Cucumber,Bag,50,KES1893.00,6/1/2012,1,13,0,50,1,6,2012,1893
124,Horticulture,Capsicums,Bag,50,KES2758.00,6/1/2012,1,6,0,50,1,6,2012,2758
125,Horticulture,Brinjals,Bag,44,KES1606.00,6/1/2012,1,4,0,44,1,6,2012,1606
126,Horticulture,Cauliflower,crate,39,KES2147.00,6/1/2012,1,9,6,39,1,6,2012,2147
127,Horticulture,Lettuce,Bag,51,KES3281.00,6/1/2012,1,23,0,51,1,6,2012,3281
128,Horticulture,Passion Fruits,Bag,57,KES3636.00,6/1/2012,1,30,0,57,1,6,2012,3636
129,Horticulture,Oranges,Bag,93,KES2410.00,6/1/2012,1,29,0,93,1,6,2012,2410
130,Horticulture,Lemons,Bag,95,KES1767.00,6/1/2012,1,22,0,95,1,6,2012,1767
131,Horticulture,Mangoes Local,Bag,126,KES2018.00,6/1/2012,1,25,0,126,1,6,2012,2018
132,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1004.00,6/1/2012,1,26,5,25,1,6,2012,1004
133,Horticulture,Limes,net,13,KES655.00,6/1/2012,1,24,7,13,1,6,2012,655
134,Horticulture,Pineapples,Dozen,13,KES851.00,6/1/2012,1,32,1,13,1,6,2012,851
135,Horticulture,Pawpaw,Lg Box,54,KES1406.00,6/1/2012,1,31,3,54,1,6,2012,1406
136,Horticulture,Avocado,Bag,90,KES1971.00,6/1/2012,1,0,0,90,1,6,2012,1971
137,Horticulture,Kales,Bag,50,KES1272.00,6/1/2012,1,21,0,50,1,6,2012,1272
138,Horticulture,Cabbages,Ext Bag,126,KES2034.00,7/1/2012,1,5,2,126,1,7,2012,2034
139,Horticulture,Cooking Bananas,Med Bunch,22,KES544.00,7/1/2012,1,11,4,22,1,7,2012,544
140,Horticulture,Ripe Bananas,Med Bunch,14,KES582.00,7/1/2012,1,34,4,14,1,7,2012,582
141,Horticulture,Carrots,Ext Bag,138,KES4534.00,7/1/2012,1,7,2,138,1,7,2012,4534
142,Horticulture,Tomatoes,Lg Box,64,KES2602.00,7/1/2012,1,38,3,64,1,7,2012,2602
143,Horticulture,Onions Dry,net,13,KES1004.00,7/1/2012,1,28,7,13,1,7,2012,1004
144,Horticulture,Spring Onions,Bag,142,KES2103.00,7/1/2012,1,36,0,142,1,7,2012,2103
145,Horticulture,Chillies,Bag,38,KES2785.00,7/1/2012,1,10,0,38,1,7,2012,2785
146,Horticulture,Cucumber,Bag,50,KES1917.00,7/1/2012,1,13,0,50,1,7,2012,1917
147,Horticulture,Capsicums,Bag,50,KES2552.00,7/1/2012,1,6,0,50,1,7,2012,2552
148,Horticulture,Brinjals,Bag,44,KES1592.00,7/1/2012,1,4,0,44,1,7,2012,1592
149,Horticulture,Cauliflower,crate,39,KES2744.00,7/1/2012,1,9,6,39,1,7,2012,2744
150,Horticulture,Lettuce,Bag,51,KES3563.00,7/1/2012,1,23,0,51,1,7,2012,3563
151,Horticulture,Passion Fruits,Bag,57,KES3726.00,7/1/2012,1,30,0,57,1,7,2012,3726
152,Horticulture,Oranges,Bag,93,KES2413.00,7/1/2012,1,29,0,93,1,7,2012,2413
153,Horticulture,Lemons,Bag,95,KES1695.00,7/1/2012,1,22,0,95,1,7,2012,1695
154,Horticulture,Mangoes Local,Bag,126,KES1750.00,7/1/2012,1,25,0,126,1,7,2012,1750
155,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1063.00,7/1/2012,1,26,5,25,1,7,2012,1063
156,Horticulture,Limes,net,13,KES602.00,7/1/2012,1,24,7,13,1,7,2012,602
157,Horticulture,Pineapples,Dozen,13,KES831.00,7/1/2012,1,32,1,13,1,7,2012,831
158,Horticulture,Pawpaw,Lg Box,54,KES1432.00,7/1/2012,1,31,3,54,1,7,2012,1432
159,Horticulture,Avocado,Bag,90,KES1741.00,7/1/2012,1,0,0,90,1,7,2012,1741
160,Horticulture,Kales,Bag,50,KES824.00,7/1/2012,1,21,0,50,1,7,2012,824
161,Horticulture,Cabbages,Ext Bag,126,KES1905.00,8/1/2012,1,5,2,126,1,8,2012,1905
162,Horticulture,Cooking Bananas,Med Bunch,22,KES572.00,8/1/2012,1,11,4,22,1,8,2012,572
163,Horticulture,Ripe Bananas,Med Bunch,14,KES542.00,8/1/2012,1,34,4,14,1,8,2012,542
164,Horticulture,Carrots,Ext Bag,138,KES3850.00,8/1/2012,1,7,2,138,1,8,2012,3850
165,Horticulture,Tomatoes,Lg Box,64,KES2576.00,8/1/2012,1,38,3,64,1,8,2012,2576
166,Horticulture,Onions Dry,net,13,KES887.00,8/1/2012,1,28,7,13,1,8,2012,887
167,Horticulture,Spring Onions,Bag,142,KES1975.00,8/1/2012,1,36,0,142,1,8,2012,1975
168,Horticulture,Chillies,Bag,38,KES2652.00,8/1/2012,1,10,0,38,1,8,2012,2652
169,Horticulture,Cucumber,Bag,50,KES1572.00,8/1/2012,1,13,0,50,1,8,2012,1572
170,Horticulture,Capsicums,Bag,50,KES2769.00,8/1/2012,1,6,0,50,1,8,2012,2769
171,Horticulture,Brinjals,Bag,44,KES1544.00,8/1/2012,1,4,0,44,1,8,2012,1544
172,Horticulture,Cauliflower,crate,39,KES2408.00,8/1/2012,1,9,6,39,1,8,2012,2408
173,Horticulture,Lettuce,Bag,51,KES4246.00,8/1/2012,1,23,0,51,1,8,2012,4246
174,Horticulture,Passion Fruits,Bag,57,KES3291.00,8/1/2012,1,30,0,57,1,8,2012,3291
175,Horticulture,Oranges,Bag,93,KES2736.00,8/1/2012,1,29,0,93,1,8,2012,2736
176,Horticulture,Lemons,Bag,95,KES1749.00,8/1/2012,1,22,0,95,1,8,2012,1749
177,Horticulture,Mangoes Local,Bag,126,KES1791.00,8/1/2012,1,25,0,126,1,8,2012,1791
178,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1013.00,8/1/2012,1,26,5,25,1,8,2012,1013
179,Horticulture,Limes,net,13,KES817.00,8/1/2012,1,24,7,13,1,8,2012,817
180,Horticulture,Pineapples,Dozen,13,KES698.00,8/1/2012,1,32,1,13,1,8,2012,698
181,Horticulture,Pawpaw,Lg Box,54,KES1388.00,8/1/2012,1,31,3,54,1,8,2012,1388
182,Horticulture,Avocado,Bag,90,KES1634.00,8/1/2012,1,0,0,90,1,8,2012,1634
183,Horticulture,Kales,Bag,50,KES682.00,8/1/2012,1,21,0,50,1,8,2012,682
184,Horticulture,Cabbages,Ext Bag,126,KES1792.00,9/1/2012,1,5,2,126,1,9,2012,1792
185,Horticulture,Cooking Bananas,Med Bunch,22,KES571.00,9/1/2012,1,11,4,22,1,9,2012,571
186,Horticulture,Ripe Bananas,Med Bunch,14,KES573.00,9/1/2012,1,34,4,14,1,9,2012,573
187,Horticulture,Carrots,Ext Bag,138,KES3261.00,9/1/2012,1,7,2,138,1,9,2012,3261
188,Horticulture,Tomatoes,Lg Box,64,KES2602.00,9/1/2012,1,38,3,64,1,9,2012,2602
189,Horticulture,Onions Dry,net,13,KES1018.00,9/1/2012,1,28,7,13,1,9,2012,1018
190,Horticulture,Spring Onions,Bag,142,KES2097.00,9/1/2012,1,36,0,142,1,9,2012,2097
191,Horticulture,Chillies,Bag,38,KES3783.00,9/1/2012,1,10,0,38,1,9,2012,3783
192,Horticulture,Cucumber,Bag,50,KES1735.00,9/1/2012,1,13,0,50,1,9,2012,1735
193,Horticulture,Capsicums,Bag,50,KES2674.00,9/1/2012,1,6,0,50,1,9,2012,2674
194,Horticulture,Brinjals,Bag,44,KES1474.00,9/1/2012,1,4,0,44,1,9,2012,1474
195,Horticulture,Cauliflower,crate,39,KES2087.00,9/1/2012,1,9,6,39,1,9,2012,2087
196,Horticulture,Lettuce,Bag,51,KES4983.00,9/1/2012,1,23,0,51,1,9,2012,4983
197,Horticulture,Passion Fruits,Bag,57,KES3536.00,9/1/2012,1,30,0,57,1,9,2012,3536
198,Horticulture,Oranges,Bag,93,KES3163.00,9/1/2012,1,29,0,93,1,9,2012,3163
199,Horticulture,Lemons,Bag,95,KES1374.00,9/1/2012,1,22,0,95,1,9,2012,1374
200,Horticulture,Mangoes Local,Bag,126,KES2013.00,9/1/2012,1,25,0,126,1,9,2012,2013
201,Horticulture,Mangoes Ngowe,Sm Basket,25,KES932.00,9/1/2012,1,26,5,25,1,9,2012,932
202,Horticulture,Limes,net,13,KES626.00,9/1/2012,1,24,7,13,1,9,2012,626
203,Horticulture,Pineapples,Dozen,13,KES935.00,9/1/2012,1,32,1,13,1,9,2012,935
204,Horticulture,Pawpaw,Lg Box,54,KES1715.00,9/1/2012,1,31,3,54,1,9,2012,1715
205,Horticulture,Avocado,Bag,90,KES1975.00,9/1/2012,1,0,0,90,1,9,2012,1975
206,Horticulture,Kales,Bag,50,KES764.00,9/1/2012,1,21,0,50,1,9,2012,764
207,Horticulture,Cabbages,Ext Bag,126,KES1643.00,10/1/2012,1,5,2,126,1,10,2012,1643
208,Horticulture,Cooking Bananas,Med Bunch,22,KES626.00,10/1/2012,1,11,4,22,1,10,2012,626
209,Horticulture,Ripe Bananas,Med Bunch,14,KES636.00,10/1/2012,1,34,4,14,1,10,2012,636
210,Horticulture,Carrots,Ext Bag,138,KES2778.00,10/1/2012,1,7,2,138,1,10,2012,2778
211,Horticulture,Tomatoes,Lg Box,64,KES2576.00,10/1/2012,1,38,3,64,1,10,2012,2576
